ID_zlecenia,Nazwa_zamawiajacego,Tel_zamawiajacego,Adres_nadania,Adres_odbioru,Punkt_nadania,Punkt_odbioru,Gabaryt,Cena,Nr_faktury,Status,Data_przyjecia,Data_zakoczenia
0,Gustaw Węgrzyniak,+485814742989,pl. Wczasowa 85 96-811 Mława,aleja Wodna 46 82-648 Lublin,NULL,NULL,4,1025.07,FV-2632899,2,2021-06-03,2024-02-14
0,Janina Wojczuk,+487646363545,plac Fiołkowa 73 55-536 Gliwice,NULL,NULL,0,5,9800.99,FV-8643993,3,2022-04-11,2023-07-06
0,Ryszard Kotala,+480398880188,pl. Kolonia 443 36-116 Inowrocław,NULL,NULL,0,2,4516.34,FV-5946664,0,2023-12-18,2024-09-28
0,pani Ada Kurz,+486196868971,NULL,NULL,0,100,5,11955.48,FV-2103547,0,2024-06-19,2024-07-08
0,Hubert Czosnyka,+483585534143,aleja Dojazdowa 14 41-607 Czerwionka-Leszczyny,NULL,NULL,0,0,17644.46,FV-9058100,2,2020-06-04,2022-10-24
0,Gabriel Mitera,+486089914373,NULL,ul. Rubinowa 45 93-045 Turek,0,NULL,8,10982.94,FV-6687789,1,2021-12-27,2023-05-12
0,Skiepko Sp.k.,+480022231079,NULL,NULL,0,100,6,8766.77,FV-4240267,2,2020-10-21,2022-07-04
0,Grupa Kinder-Heinrich Sp.k.,+480273455939,NULL,NULL,0,100,3,15429.1,FV-9737206,3,2021-07-08,2024-01-30
0,Fundacja Grymuza,+483204426898,plac Krótka 877 62-256 Skarżysko-Kamienna,NULL,NULL,0,3,8884.46,FV-6868829,0,2021-02-23,2024-07-03
0,Spółdzielnia Białczyk,+488248835639,NULL,NULL,0,100,6,6266.16,FV-3887623,2,2022-05-24,2023-07-05
10,Fundacja Synak S.A.,+487855451766,NULL,NULL,0,260,0,16102.51,FV-4858121,1,2020-04-13,2023-09-30
10,Krysik i syn s.c.,+487450385293,plac Sosnowa 721 85-132 Zgierz,NULL,NULL,0,3,4463.12,FV-6775730,1,2023-11-17,2025-06-05
10,Nicole Łupina,+484487849089,NULL,NULL,0,260,4,16803.72,FV-3693344,0,2020-02-13,2023-11-30
10,Urszula Kuffel,+488596891956,NULL,NULL,0,260,4,9968.64,FV-4539506,3,2021-02-28,2022-01-01
10,PPUH Derek,+486974857742,ul. Wierzbowa 343 87-995 Zgierz,NULL,NULL,0,9,6403.97,FV-1277829,3,2023-09-07,2023-10-04
10,Łukasz Sudnik,+484618696479,plac Wrzosowa 56 81-020 Tychy,NULL,NULL,0,7,14366.93,FV-5300838,0,2021-09-08,2022-02-27
10,Mostek-Kolendo Sp.k.,+482702275120,NULL,pl. Brzozowa 56 26-498 Puławy,0,NULL,6,7484.93,FV-5060090,0,2022-03-18,2022-12-27
10,Grupa Kolka-Filas Sp.j.,+487897774224,NULL,NULL,0,260,9,4453.09,FV-5021366,0,2022-05-01,2023-05-30
10,Kamila Wietecha,+482123177045,NULL,ul. Pomorska 65/10 31-309 Zgierz,0,NULL,4,2318.56,FV-5100600,2,2023-05-22,2025-01-13
10,Angelika Kwoka,+488857608291,NULL,NULL,0,260,6,9131.72,FV-2475141,1,2022-07-02,2023-11-17
10,Ciastek-Trybała Sp.j.,+484248040860,NULL,aleja Fabryczna 61/62 67-501 Zakopane,0,NULL,8,3043.4,FV-6376541,1,2021-05-16,2021-08-14
10,pan Natan Rajtar,+488529614129,aleja Rejtana 15 07-293 Sieradz,NULL,NULL,0,0,7756.21,FV-3532884,1,2021-02-26,2023-09-11
10,Fundacja Szkatuła Sp.k.,+484172389784,al. Okrzei 90 91-315 Police,NULL,NULL,0,5,8489.97,FV-8164425,0,2022-06-23,2024-02-02
10,Kusio Sp. z o.o. Sp.k.,+485483244743,NULL,NULL,0,260,9,11735.31,FV-1639252,2,2023-09-18,2024-08-13
10,Urszula Serwa,+486965601351,NULL,NULL,0,260,6,7073.79,FV-3607607,1,2021-08-01,2023-01-21
10,Rogal Sp.j.,+482353021088,NULL,ulica Bydgoska 74 80-667 Lubliniec,0,NULL,0,11317.99,FV-7499655,2,2020-03-08,2020-06-28
10,Słupik S.A.,+489006723957,NULL,NULL,0,260,9,1362.43,FV-5204879,0,2022-05-27,2025-01-13
10,PPUH Kluj-Czura Sp.k.,+489956340708,pl. Jasna 46 65-804 Swarzędz,NULL,NULL,0,5,7014.56,FV-5931533,2,2022-12-17,2023-08-06
10,Przemysław Dzienniak,+484136754917,NULL,NULL,0,260,7,14749.81,FV-5190881,1,2025-04-10,2025-07-29
10,Gabinety Pabisiak-Neugebauer i syn s.c.,+484216229547,NULL,NULL,0,260,4,15321.55,FV-7191231,3,2021-07-11,2023-08-15
